time,cars,wait,queue
0,1,0.0,1
1,1,0.0,0
2,2,0.0,1
3,2,0.0,0
4,3,0.0,1
5,4,0.0,1
6,4,0.0,0
7,4,0.0,0
8,5,0.0,1
9,5,0.0,0
10,5,0.0,0
11,6,0.0,1
12,6,0.0,0
13,7,0.0,1
14,7,0.0,0
15,8,0.0,1
16,8,0.0,0
17,9,0.0,1
18,9,1.0,1
19,9,0.0,0
20,10,0.0,1
21,11,1.0,2
22,12,2.0,2
23,12,5.0,2
24,12,6.0,2
25,12,8.0,2
26,13,11.0,4
27,15,14.0,5
28,16,17.0,4
29,16,20.0,3
30,17,24.0,5
31,18,28.0,5
32,19,32.0,5
33,19,37.0,6
34,19,16.0,3
35,21,7.0,4
36,21,2.0,1
37,21,0.0,0
38,22,0.0,1
39,19,1.0,1
40,20,2.0,2
41,20,3.0,1
42,21,5.0,2
43,21,9.0,3
44,21,14.0,4
45,22,19.0,5
46,23,26.0,7
47,23,33.0,6
48,23,40.0,6
49,24,31.0,7
50,24,25.0,6
51,24,20.0,6
52,23,18.0,6
53,24,18.0,7
54,24,15.0,5
55,25,14.0,6
56,26,14.0,4
57,25,19.0,4
58,25,25.0,5
59,24,32.0,6
60,26,40.0,9
61,27,51.0,11
62,27,61.0,10
63,27,72.0,10
64,27,60.0,9
65,28,62.0,10
66,28,51.0,10
67,28,43.0,10
68,29,36.0,9
69,29,36.0,8
70,30,30.0,8
71,30,30.0,8
72,29,38.0,11
73,29,48.0,10
74,29,61.0,12
75,30,66.0,12
76,30,74.0,13
77,31,84.0,16
78,31,94.0,15
79,34,84.0,17
80,34,72.0,11
81,33,64.0,10
82,33,62.0,9
83,34,40.0,7
84,36,27.0,7
85,36,15.0,4
86,36,11.0,4
87,36,13.0,4
88,39,16.0,10
89,40,20.0,9
90,40,27.0,10
91,39,34.0,10
92,39,42.0,11
93,40,51.0,12
94,39,46.0,12
95,40,39.0,10
96,40,34.0,9
97,40,32.0,10
98,41,33.0,12
99,41,31.0,10
100,41,33.0,11
101,41,43.0,12
102,40,48.0,12
103,41,53.0,13
104,40,58.0,13
105,40,65.0,13
106,40,73.0,13
107,40,87.0,14
108,42,102.0,17
109,42,89.0,13
110,41,78.0,12
111,41,70.0,12
112,42,62.0,12
113,42,55.0,11
114,42,49.0,13
115,42,49.0,12
116,41,43.0,11
117,41,41.0,12
118,41,45.0,11
119,40,50.0,10
120,40,57.0,10
121,40,66.0,12
122,41,80.0,14
123,42,95.0,15
124,41,85.0,13
125,41,75.0,13
126,41,59.0,12
127,42,48.0,14
128,41,41.0,12
129,41,38.0,10
130,40,41.0,13
131,42,39.0,16
132,42,43.0,13
133,41,55.0,14
134,41,63.0,15
135,41,72.0,15
136,44,84.0,20
137,44,103.0,18
138,44,124.0,20
139,44,125.0,19
140,46,125.0,20
141,47,125.0,20
142,47,111.0,18
143,47,98.0,16
144,47,86.0,16
145,49,76.0,17
146,49,69.0,16
147,49,64.0,15
148,49,71.0,17
149,48,74.0,18
150,49,79.0,17
151,48,99.0,19
152,48,110.0,20
153,48,123.0,21
154,48,119.0,20
155,50,102.0,22
156,50,93.0,19
157,50,86.0,19
158,50,86.0,20
159,50,89.0,20
160,49,86.0,21
161,49,86.0,22
162,49,93.0,22
163,49,99.0,21
164,48,99.0,21
165,48,94.0,20
166,49,94.0,20
167,49,95.0,17
168,49,97.0,18
169,49,87.0,16
170,49,84.0,17
171,49,79.0,16
172,49,74.0,16
173,49,70.0,17
174,49,68.0,17
175,49,58.0,14
176,49,50.0,12
177,48,45.0,12
178,49,50.0,12
179,49,43.0,10
180,49,44.0,12
181,48,37.0,10
182,48,48.0,13
183,49,55.0,13
184,49,48.0,11
185,49,45.0,13
186,49,43.0,12
187,49,35.0,10
188,48,33.0,12
189,48,32.0,11
190,48,34.0,12
191,49,49.0,17
192,48,53.0,15
193,47,58.0,14
194,47,70.0,16
195,48,76.0,15
196,49,84.0,16
197,49,96.0,17
198,49,115.0,19
199,48,110.0,18
200,48,107.0,19
201,48,104.0,19
202,48,94.0,19
203,48,91.0,24
204,48,100.0,23
205,48,104.0,23
206,47,97.0,20
207,46,85.0,19
208,47,85.0,19
209,47,83.0,17
210,47,73.0,17
211,47,68.0,16
212,47,66.0,14
213,48,80.0,17
214,48,72.0,15
215,48,68.0,15
216,49,63.0,16
217,50,59.0,14
218,49,57.0,13
219,49,53.0,13
220,49,49.0,12
221,49,58.0,15
222,49,54.0,16
223,48,53.0,15
224,47,52.0,13
225,48,55.0,13
226,48,61.0,14
227,48,75.0,15
228,48,91.0,17
229,48,83.0,15
230,48,77.0,15
231,48,69.0,13
232,48,65.0,13
233,48,59.0,11
234,49,62.0,15
235,49,70.0,15
236,48,67.0,14
237,47,65.0,14
238,46,65.0,15
239,47,63.0,15
240,47,64.0,13
241,46,63.0,12
242,46,75.0,12
243,46,90.0,15
244,47,82.0,16
245,47,75.0,14
246,47,70.0,16
247,46,65.0,14
248,46,62.0,15
249,44,71.0,17
250,44,75.0,20
251,44,77.0,18
252,43,81.0,18
253,42,85.0,17
254,42,100.0,19
255,44,103.0,23
256,44,104.0,19
257,44,122.0,22
258,44,140.0,21
259,45,125.0,21
260,47,115.0,23
261,47,100.0,18
262,46,87.0,18
263,46,78.0,15
264,48,72.0,16
265,48,65.0,14
266,48,64.0,16
267,48,79.0,16
268,49,84.0,18
269,50,93.0,17
270,49,105.0,19
271,49,120.0,19
272,49,140.0,20
273,49,162.0,22
