time,cars,wait,queue
0,2,0.0,2
1,2,0.0,0
2,2,0.0,0
3,2,0.0,0
4,3,0.0,1
5,3,0.0,0
6,3,0.0,0
7,4,0.0,1
8,4,0.0,0
9,5,0.0,1
10,7,0.0,2
11,7,0.0,0
12,7,0.0,0
13,7,0.0,0
14,9,0.0,2
15,9,0.0,0
16,10,1.0,2
17,10,0.0,0
18,11,0.0,1
19,11,0.0,0
20,12,0.0,1
21,12,0.0,0
22,12,1.0,1
23,12,2.0,1
24,12,4.0,2
25,13,6.0,3
26,12,9.0,3
27,12,13.0,3
28,12,17.0,3
29,13,22.0,5
30,13,27.0,4
31,13,32.0,4
32,13,12.0,3
33,14,5.0,4
34,14,1.0,1
35,14,1.0,1
36,14,2.0,2
37,13,3.0,2
38,15,5.0,4
39,15,7.0,2
40,15,9.0,2
41,15,11.0,2
42,16,13.0,3
43,19,16.0,6
44,19,17.0,2
45,19,20.0,3
46,19,23.0,3
47,19,3.0,1
48,19,0.0,1
49,19,0.0,0
50,19,0.0,0
51,17,2.0,1
52,16,4.0,2
53,16,7.0,2
54,15,10.0,2
55,14,14.0,3
56,14,18.0,3
57,14,22.0,3
58,14,27.0,4
59,14,33.0,5
60,15,40.0,7
61,15,47.0,6
62,17,54.0,8
63,16,61.0,6
64,16,68.0,6
65,17,60.0,8
66,17,52.0,5
67,18,19.0,4
68,18,0.0,0
69,17,0.0,0
70,18,1.0,2
71,18,2.0,1
72,17,4.0,3
73,17,6.0,2
74,18,9.0,4
75,18,12.0,3
76,21,15.0,6
77,21,19.0,4
78,21,23.0,4
79,22,27.0,5
80,21,32.0,5
81,23,37.0,7
82,23,24.0,4
83,22,15.0,3
84,22,8.0,4
85,22,5.0,2
86,21,7.0,3
87,21,9.0,4
88,21,11.0,2
89,21,14.0,3
90,22,17.0,4
91,23,21.0,4
92,24,27.0,6
93,24,34.0,6
94,24,42.0,7
95,25,52.0,10
96,27,62.0,11
97,27,43.0,7
98,27,28.0,7
99,26,18.0,4
100,25,10.0,2
101,25,9.0,3
102,27,10.0,6
103,27,18.0,6
104,26,18.0,6
105,25,22.0,6
106,27,29.0,9
107,29,40.0,12
108,29,49.0,9
109,29,60.0,10
110,29,72.0,11
111,32,86.0,16
112,33,79.0,14
113,33,79.0,11
114,32,84.0,12
115,33,76.0,15
116,35,71.0,15
117,35,67.0,13
118,35,59.0,12
119,36,57.0,14
120,35,45.0,12
121,36,46.0,13
122,37,42.0,12
123,36,41.0,11
124,37,48.0,13
125,37,57.0,13
126,39,63.0,13
127,39,53.0,11
128,39,43.0,10
129,40,33.0,10
130,40,26.0,8
131,39,19.0,7
132,39,23.0,7
133,40,25.0,9
134,39,29.0,10
135,39,33.0,9
136,38,40.0,11
137,37,46.0,9
138,36,51.0,9
139,37,57.0,10
140,38,67.0,11
141,38,78.0,11
142,39,63.0,10
143,39,49.0,10
144,38,42.0,9
145,37,37.0,8
146,36,36.0,9
147,36,38.0,11
148,35,51.0,12
149,34,56.0,13
150,34,60.0,12
151,34,67.0,16
152,35,74.0,15
153,35,84.0,16
154,35,96.0,17
155,36,115.0,19
156,38,127.0,23
157,37,110.0,17
158,37,97.0,17
159,37,82.0,14
160,38,68.0,14
161,39,56.0,13
162,38,61.0,13
163,38,51.0,13
164,38,46.0,11
165,40,44.0,12
166,40,49.0,12
167,40,59.0,14
168,40,63.0,14
169,41,77.0,17
170,42,81.0,15
171,42,90.0,14
172,41,81.0,15
173,41,71.0,15
174,42,65.0,15
175,44,60.0,15
176,44,57.0,13
177,43,54.0,13
178,43,54.0,13
179,42,56.0,14
180,44,56.0,15
181,44,64.0,15
182,44,74.0,16
183,44,76.0,16
184,46,78.0,16
185,46,90.0,15
186,46,109.0,18
187,46,105.0,16
188,44,90.0,17
189,44,80.0,17
190,44,70.0,19
191,44,60.0,17
192,43,64.0,19
193,44,61.0,18
194,43,67.0,16
195,43,69.0,16
196,42,78.0,16
197,42,79.0,16
198,44,81.0,18
199,44,82.0,15
200,44,89.0,15
201,44,104.0,15
202,45,95.0,15
203,45,88.0,16
204,45,79.0,12
205,44,69.0,11
206,44,60.0,11
207,43,51.0,10
208,44,43.0,12
209,43,37.0,12
210,43,41.0,12
211,42,51.0,13
212,43,58.0,13
213,45,68.0,16
214,45,81.0,14
215,45,96.0,16
216,45,111.0,16
217,46,102.0,17
218,46,92.0,15
219,47,82.0,14
220,46,73.0,12
221,45,66.0,12
222,45,62.0,15
223,45,61.0,16
224,44,74.0,16
225,44,70.0,17
226,44,67.0,15
227,44,68.0,17
228,45,72.0,16
229,45,80.0,15
230,45,98.0,17
231,45,119.0,20
232,46,117.0,20
233,48,106.0,22
234,48,94.0,19
235,48,85.0,18
236,48,83.0,17
237,49,77.0,18
238,50,68.0,17
239,50,59.0,15
240,49,70.0,18
241,50,65.0,18
242,49,71.0,19
243,48,72.0,17
244,48,75.0,16
245,49,81.0,16
246,49,89.0,15
247,48,82.0,14
248,49,75.0,14
249,48,68.0,12
250,48,62.0,13
251,47,59.0,16
252,47,58.0,16
253,47,56.0,15
254,46,65.0,16
255,44,65.0,14
256,45,66.0,15
257,44,67.0,13
258,45,69.0,14
259,45,76.0,15
260,46,88.0,14
261,46,104.0,15
262,46,96.0,16
263,47,84.0,17
264,46,73.0,14
265,46,63.0,11
266,45,55.0,11
267,44,50.0,13
268,45,46.0,14
269,44,43.0,11
270,44,40.0,10
271,44,50.0,14
272,44,56.0,14
273,45,71.0,16
274,45,79.0,15
275,46,88.0,17
276,46,106.0,17
277,46,103.0,18
278,46,101.0,19
279,46,89.0,16
280,46,80.0,18
281,46,70.0,15
282,46,61.0,13
283,48,58.0,18
284,48,60.0,17
285,47,63.0,18
286,46,60.0,17
287,46,69.0,18
288,47,75.0,18
289,47,86.0,18
290,47,101.0,19
291,47,119.0,21
292,48,102.0,20
293,49,90.0,18
294,49,81.0,17
295,49,74.0,18
296,49,68.0,17
297,50,64.0,18
298,50,66.0,18
299,49,72.0,18
300,49,79.0,18
301,49,82.0,19
302,49,84.0,18
303,49,92.0,17
304,49,97.0,18
305,49,113.0,19
306,49,123.0,19
307,49,109.0,20
308,48,96.0,18
309,49,88.0,20
310,49,80.0,19
311,48,73.0,17
312,49,72.0,19
313,49,88.0,18
314,49,87.0,17
315,50,83.0,16
316,50,80.0,15
317,50,77.0,14
318,50,74.0,13
319,50,78.0,13
320,49,84.0,14
321,49,100.0,16
322,49,92.0,16
323,48,84.0,14
324,49,79.0,16
325,49,73.0,15
326,49,66.0,14
327,48,63.0,15
328,47,71.0,17
329,46,77.0,15
330,45,74.0,16
331,46,71.0,16
332,45,67.0,13
333,45,65.0,13
