time,cars,wait
0,1,0.0
1,2,0.0
2,2,0.0
3,3,0.0
4,4,0.0
5,4,0.0
6,4,0.0
7,5,0.0
8,5,0.0
9,5,0.0
10,6,0.0
11,6,0.0
12,7,0.0
13,7,0.0
14,8,0.0
15,8,0.0
16,9,0.0
17,9,0.0
18,9,0.0
19,10,0.0
20,11,0.0
21,12,1.0
22,12,3.0
23,12,0.0
24,12,0.0
25,13,0.0
26,14,0.0
27,15,1.0
28,15,2.0
29,16,3.0
30,17,4.0
31,18,6.0
32,18,8.0
33,18,3.0
34,18,2.0
35,20,0.0
36,20,1.0
37,21,2.0
38,21,3.0
39,20,4.0
40,19,6.0
41,20,8.0
42,19,11.0
43,19,2.0
44,19,1.0
45,20,2.0
46,20,5.0
47,21,8.0
48,22,14.0
49,23,19.0
50,21,25.0
51,21,32.0
52,21,41.0
53,21,29.0
54,22,18.0
55,23,7.0
56,23,1.0
57,24,1.0
58,24,4.0
59,25,6.0
60,25,11.0
61,24,16.0
62,25,24.0
63,26,27.0
64,26,31.0
65,27,35.0
66,27,42.0
67,28,51.0
68,28,61.0
69,28,60.0
70,29,60.0
71,29,60.0
72,28,55.0
73,29,48.0
74,29,39.0
75,29,42.0
76,30,30.0
77,29,20.0
78,31,14.0
79,32,9.0
80,32,9.0
81,32,11.0
82,32,15.0
83,34,20.0
84,34,27.0
85,34,35.0
86,34,25.0
87,34,26.0
88,36,23.0
89,36,23.0
90,36,25.0
91,36,26.0
92,36,33.0
93,36,35.0
94,36,33.0
95,36,30.0
96,35,23.0
97,37,19.0
98,37,18.0
99,37,19.0
100,37,20.0
101,38,23.0
102,39,32.0
103,39,36.0
104,39,39.0
105,39,44.0
106,40,33.0
107,39,23.0
108,39,19.0
109,39,19.0
110,39,20.0
111,39,26.0
112,39,32.0
113,39,40.0
114,38,54.0
115,38,65.0
116,37,53.0
117,39,42.0
118,39,37.0
119,39,29.0
120,39,27.0
121,39,27.0
122,41,39.0
123,40,38.0
124,40,43.0
125,40,51.0
126,40,47.0
127,41,44.0
128,41,44.0
129,42,40.0
130,42,37.0
131,43,37.0
132,44,35.0
133,43,37.0
134,44,46.0
135,45,44.0
136,44,37.0
137,44,27.0
138,45,24.0
139,46,20.0
140,46,20.0
141,46,22.0
142,46,27.0
143,46,34.0
144,47,41.0
145,47,56.0
146,47,50.0
147,47,47.0
148,47,39.0
149,47,34.0
150,47,32.0
151,48,43.0
152,48,44.0
153,49,43.0
154,49,48.0
155,48,53.0
156,48,47.0
157,48,45.0
158,49,41.0
159,49,32.0
160,49,30.0
