time,cars,wait
0,1,0.0
1,1,0.0
2,1,0.0
3,3,0.0
4,4,0.0
5,5,0.0
6,5,0.0
7,5,0.0
8,5,0.0
9,6,0.0
10,6,0.0
11,6,0.0
12,6,0.0
13,7,0.0
14,8,0.0
15,9,0.0
16,9,0.0
17,9,1.0
18,12,2.0
19,12,3.0
20,12,4.0
21,12,6.0
22,12,1.0
23,15,0.0
24,15,0.0
25,15,0.0
26,15,0.0
27,14,0.0
28,16,0.0
29,16,0.0
30,16,0.0
31,17,1.0
32,19,0.0
33,19,1.0
34,20,0.0
35,20,1.0
36,20,4.0
37,22,7.0
38,20,10.0
39,21,15.0
40,20,21.0
41,20,28.0
42,21,14.0
43,20,6.0
44,21,3.0
45,21,2.0
46,22,3.0
47,23,4.0
48,23,6.0
49,24,9.0
50,24,13.0
51,25,17.0
52,27,8.0
53,27,2.0
54,28,0.0
55,28,2.0
56,29,5.0
57,29,9.0
58,30,14.0
59,30,20.0
60,31,26.0
61,30,34.0
62,31,26.0
63,30,19.0
64,30,11.0
65,31,7.0
66,31,5.0
67,32,7.0
68,32,11.0
69,33,13.0
70,33,18.0
71,33,22.0
72,33,15.0
73,33,8.0
74,34,4.0
75,35,5.0
76,35,9.0
77,36,13.0
78,36,19.0
79,36,27.0
80,36,37.0
81,37,50.0
82,36,44.0
83,36,35.0
84,35,31.0
85,35,32.0
86,36,28.0
87,36,33.0
88,36,31.0
89,36,32.0
90,36,32.0
91,36,35.0
92,35,30.0
93,36,25.0
94,37,23.0
95,37,19.0
96,37,19.0
97,37,15.0
98,37,17.0
99,37,20.0
100,37,26.0
101,38,33.0
102,38,29.0
103,39,26.0
104,38,24.0
105,38,25.0
106,40,23.0
107,41,25.0
108,42,25.0
109,42,27.0
110,40,37.0
111,39,48.0
112,40,41.0
113,40,38.0
114,40,33.0
115,40,31.0
116,40,31.0
117,41,33.0
118,41,33.0
119,40,38.0
120,40,40.0
121,40,42.0
122,40,41.0
123,42,29.0
124,42,29.0
125,42,25.0
126,43,23.0
127,43,28.0
128,45,33.0
129,45,45.0
130,44,59.0
131,45,76.0
132,47,75.0
133,46,76.0
134,46,68.0
135,45,65.0
136,45,65.0
137,46,71.0
138,46,81.0
139,46,82.0
140,45,77.0
141,46,74.0
142,45,63.0
143,45,52.0
144,46,40.0
145,46,24.0
146,46,20.0
147,47,25.0
148,47,28.0
149,47,30.0
150,47,41.0
151,48,49.0
152,48,40.0
153,47,36.0
154,48,28.0
155,48,25.0
156,48,30.0
157,49,31.0
158,49,34.0
159,48,38.0
160,47,48.0
161,47,58.0
162,46,54.0
163,46,40.0
164,46,29.0
165,46,20.0
166,47,23.0
167,47,23.0
168,48,23.0
169,47,27.0
170,47,33.0
171,47,37.0
172,47,42.0
173,48,55.0
174,49,45.0
175,49,40.0
176,49,30.0
177,49,28.0
178,48,25.0
179,48,32.0
180,48,31.0
181,49,35.0
182,48,43.0
183,48,53.0
184,48,44.0
185,48,34.0
186,49,24.0
187,49,15.0
188,49,15.0
189,48,18.0
190,48,24.0
191,48,29.0
192,47,36.0
193,47,49.0
194,46,45.0
195,46,36.0
196,46,26.0
197,46,23.0
198,46,21.0
199,47,21.0
200,48,26.0
201,48,36.0
202,48,43.0
203,48,52.0
204,47,60.0
205,48,70.0
206,49,77.0
207,49,81.0
208,49,90.0
209,49,86.0
210,50,87.0
211,49,86.0
212,49,83.0
213,50,97.0
214,50,91.0
215,50,82.0
216,49,74.0
217,49,64.0
218,49,55.0
219,49,53.0
220,49,46.0
221,49,45.0
222,49,59.0
223,49,72.0
224,49,68.0
225,48,63.0
226,48,56.0
227,48,53.0
228,48,60.0
229,49,58.0
230,49,56.0
231,49,58.0
232,48,67.0
233,49,67.0
234,48,55.0
235,48,42.0
236,48,42.0
237,49,33.0
238,49,35.0
239,49,38.0
240,49,46.0
241,49,57.0
242,49,68.0
243,49,83.0
244,50,81.0
245,50,80.0
246,49,70.0
247,48,66.0
248,48,66.0
249,47,62.0
250,48,59.0
251,48,52.0
252,47,61.0
253,47,67.0
254,47,68.0
255,48,61.0
256,48,54.0
257,48,54.0
258,48,48.0
259,48,56.0
260,49,53.0
261,49,48.0
262,49,50.0
263,49,57.0
264,50,48.0
265,49,44.0
266,49,43.0
267,48,43.0
268,48,45.0
269,48,47.0
270,48,58.0
271,48,66.0
272,47,72.0
273,46,88.0
274,46,81.0
275,46,76.0
276,46,72.0
277,47,77.0
278,48,69.0
279,48,61.0
280,49,58.0
281,49,59.0
282,49,64.0
283,48,67.0
284,49,57.0
285,49,45.0
286,49,41.0
287,49,30.0
288,49,23.0
289,49,19.0
290,48,26.0
291,48,28.0
292,48,33.0
293,48,41.0
294,48,34.0
295,48,28.0
296,47,23.0
297,46,22.0
298,47,25.0
299,47,30.0
300,48,34.0
301,48,41.0
302,48,54.0
303,47,66.0
304,46,64.0
305,48,62.0
306,48,60.0
307,48,62.0
308,48,56.0
309,47,51.0
310,49,50.0
311,49,60.0
312,50,59.0
313,50,70.0
314,49,63.0
315,49,66.0
316,48,62.0
317,49,60.0
318,49,65.0
319,49,67.0
320,50,65.0
321,50,61.0
322,50,61.0
323,50,69.0
324,50,66.0
325,50,64.0
326,50,62.0
327,50,71.0
328,50,73.0
329,49,77.0
330,49,69.0
331,50,70.0
332,50,64.0
333,50,62.0
334,50,64.0
335,50,61.0
336,50,58.0
337,50,58.0
338,50,65.0
339,49,68.0
340,50,59.0
341,50,57.0
342,50,61.0
343,50,52.0
344,50,50.0
345,50,44.0
346,49,41.0
347,50,39.0
348,50,47.0
349,50,43.0
350,49,45.0
351,49,37.0
352,49,35.0
353,49,32.0
354,49,19.0
355,49,11.0
356,49,9.0
357,49,11.0
358,50,12.0
359,50,19.0
360,49,18.0
361,48,26.0
362,48,35.0
363,48,45.0
364,49,39.0
365,48,35.0
366,49,32.0
367,48,29.0
368,48,30.0
369,49,31.0
370,48,36.0
371,47,53.0
372,46,62.0
373,46,73.0
374,46,65.0
375,46,58.0
376,46,50.0
377,46,41.0
378,46,45.0
379,49,41.0
380,49,39.0
381,49,41.0
382,48,44.0
383,48,56.0
384,49,57.0
385,48,47.0
386,48,36.0
387,48,35.0
388,49,35.0
389,49,31.0
390,49,34.0
391,49,45.0
392,49,53.0
393,50,65.0
394,50,62.0
395,49,63.0
396,49,60.0
397,49,58.0
398,49,56.0
399,50,56.0
400,50,64.0
401,49,64.0
402,50,70.0
403,50,71.0
404,50,59.0
405,50,52.0
406,49,48.0
407,49,36.0
408,49,38.0
409,49,34.0
410,49,43.0
411,49,50.0
412,49,58.0
413,49,66.0
414,48,54.0
415,48,45.0
