time,cars,wait
0,0,0.0
1,1,0.0
2,2,0.0
3,2,0.0
4,2,0.0
5,3,0.0
6,4,0.0
7,4,0.0
8,4,0.0
9,4,0.0
10,5,0.0
11,6,0.0
12,6,0.0
13,6,0.0
14,6,0.0
15,8,0.0
16,8,0.0
17,8,0.0
18,8,0.0
19,9,1.0
20,10,2.0
21,10,3.0
22,10,4.0
23,10,5.0
24,11,7.0
25,12,9.0
26,11,11.0
27,11,14.0
28,12,17.0
29,13,20.0
30,12,23.0
31,12,14.0
32,12,8.0
33,12,3.0
34,13,1.0
35,13,0.0
36,13,0.0
37,13,1.0
38,14,2.0
39,14,3.0
40,14,5.0
41,14,7.0
42,14,9.0
43,15,11.0
44,16,14.0
45,16,17.0
46,16,20.0
47,16,13.0
48,17,7.0
49,17,5.0
50,16,6.0
51,16,9.0
52,16,12.0
53,16,15.0
54,16,18.0
55,15,22.0
56,16,26.0
57,16,30.0
58,17,34.0
59,17,39.0
60,17,44.0
61,18,50.0
62,17,56.0
63,18,45.0
64,17,34.0
65,17,24.0
66,18,18.0
67,19,14.0
68,18,10.0
69,18,11.0
70,17,13.0
71,17,16.0
72,18,19.0
73,18,23.0
74,18,27.0
75,19,31.0
76,19,36.0
77,20,41.0
78,20,46.0
79,19,51.0
80,20,56.0
81,19,45.0
82,20,33.0
83,19,24.0
84,20,18.0
85,19,13.0
86,19,12.0
87,19,12.0
88,19,15.0
89,19,19.0
90,19,24.0
91,20,29.0
92,20,35.0
93,20,41.0
94,21,47.0
95,21,54.0
96,22,61.0
97,21,68.0
98,21,75.0
99,21,65.0
100,21,56.0
101,21,48.0
102,21,41.0
103,21,35.0
104,21,30.0
105,20,26.0
106,21,33.0
107,21,33.0
108,21,35.0
109,21,37.0
110,21,42.0
111,21,48.0
112,22,55.0
113,22,62.0
114,21,70.0
115,22,78.0
116,22,86.0
117,22,76.0
118,22,66.0
119,22,55.0
120,22,46.0
121,21,37.0
122,21,28.0
123,21,22.0
124,21,18.0
125,21,17.0
126,20,18.0
127,20,24.0
128,20,26.0
129,21,30.0
130,21,36.0
131,21,42.0
132,21,49.0
133,22,56.0
134,22,63.0
135,22,70.0
136,21,62.0
137,20,54.0
138,22,45.0
139,21,38.0
140,21,30.0
141,20,23.0
142,21,19.0
143,20,18.0
144,21,17.0
145,20,22.0
146,20,23.0
147,20,30.0
148,21,35.0
149,21,40.0
150,21,47.0
151,21,54.0
152,21,61.0
153,22,68.0
154,21,59.0
155,21,51.0
156,21,43.0
157,22,35.0
158,21,30.0
159,21,24.0
160,20,19.0
161,20,26.0
162,21,25.0
163,21,26.0
164,21,29.0
165,21,36.0
166,22,43.0
167,22,50.0
168,22,57.0
169,22,64.0
170,22,72.0
171,23,80.0
172,23,88.0
173,22,79.0
174,22,70.0
175,22,61.0
176,22,52.0
177,22,44.0
178,21,35.0
179,21,26.0
180,21,22.0
181,20,20.0
182,20,18.0
183,20,20.0
184,20,26.0
185,21,27.0
186,21,33.0
187,21,39.0
188,22,45.0
189,22,52.0
190,22,59.0
191,21,66.0
192,21,58.0
193,21,50.0
194,22,42.0
195,21,35.0
196,21,28.0
197,20,22.0
198,21,19.0
199,21,17.0
200,20,17.0
201,20,22.0
202,21,24.0
203,21,29.0
204,21,35.0
205,21,41.0
206,21,47.0
207,22,54.0
208,22,61.0
209,22,69.0
210,21,60.0
211,21,52.0
212,22,43.0
213,22,37.0
214,21,31.0
215,21,24.0
216,21,31.0
217,22,27.0
218,22,23.0
219,21,22.0
220,21,22.0
221,22,27.0
222,22,33.0
223,22,40.0
224,22,47.0
225,23,55.0
226,23,63.0
227,23,72.0
228,23,81.0
229,22,73.0
230,22,65.0
231,23,57.0
232,22,50.0
233,22,44.0
234,22,51.0
235,22,45.0
236,21,39.0
237,21,34.0
238,21,30.0
239,21,28.0
240,21,29.0
241,21,31.0
242,22,37.0
243,22,44.0
244,22,50.0
245,22,58.0
246,22,66.0
247,22,74.0
248,22,67.0
249,21,59.0
250,22,51.0
251,21,43.0
252,21,34.0
253,21,40.0
254,22,32.0
255,21,27.0
256,20,22.0
257,20,20.0
258,20,27.0
259,21,28.0
260,21,29.0
261,21,31.0
262,21,38.0
263,22,45.0
264,22,52.0
265,22,59.0
266,21,66.0
267,21,59.0
268,22,52.0
269,22,45.0
270,21,36.0
271,21,29.0
272,21,23.0
273,21,17.0
274,21,24.0
275,21,20.0
276,20,19.0
277,20,20.0
278,20,24.0
279,21,28.0
280,21,34.0
281,21,41.0
282,21,48.0
283,22,55.0
284,22,62.0
285,21,55.0
286,21,47.0
287,21,40.0
288,21,35.0
289,21,29.0
290,20,36.0
291,21,32.0
292,21,27.0
293,21,25.0
294,21,27.0
295,21,31.0
296,22,38.0
297,22,45.0
298,22,53.0
299,22,61.0
300,22,69.0
301,23,77.0
302,23,86.0
303,23,78.0
304,23,70.0
305,23,63.0
306,23,56.0
307,22,51.0
308,22,46.0
309,21,41.0
310,21,37.0
311,21,36.0
312,21,45.0
313,21,46.0
314,21,47.0
315,22,49.0
316,22,57.0
317,22,63.0
318,22,71.0
319,22,79.0
320,23,87.0
321,22,96.0
322,22,86.0
323,22,76.0
324,22,66.0
325,22,57.0
326,22,49.0
327,21,40.0
328,22,31.0
329,21,38.0
330,21,34.0
331,20,32.0
332,21,32.0
333,21,34.0
334,21,41.0
335,21,42.0
336,21,48.0
337,23,55.0
338,22,62.0
339,22,69.0
340,21,77.0
341,22,68.0
342,22,59.0
343,22,51.0
344,21,43.0
345,21,35.0
346,21,42.0
347,22,34.0
348,21,29.0
349,21,27.0
350,20,26.0
351,20,29.0
352,21,33.0
353,21,37.0
354,21,43.0
355,21,50.0
356,22,57.0
357,22,64.0
358,22,71.0
359,21,79.0
360,21,70.0
361,21,60.0
362,22,52.0
363,21,44.0
364,21,36.0
365,20,29.0
366,21,24.0
367,21,22.0
368,21,30.0
369,21,31.0
370,21,33.0
371,21,38.0
372,22,44.0
373,22,51.0
374,22,59.0
375,21,67.0
376,23,75.0
377,23,83.0
378,22,92.0
379,22,83.0
380,21,76.0
381,23,69.0
382,22,63.0
383,22,74.0
384,21,68.0
385,22,63.0
386,22,58.0
387,21,55.0
388,21,54.0
389,21,53.0
390,22,61.0
391,22,61.0
392,22,62.0
393,22,70.0
394,23,78.0
395,23,87.0
396,23,96.0
397,22,105.0
398,22,95.0
399,24,84.0
400,23,73.0
401,22,62.0
402,22,52.0
403,21,43.0
404,22,38.0
405,21,33.0
406,21,29.0
407,20,36.0
408,21,35.0
409,21,35.0
410,21,34.0
411,21,40.0
412,21,47.0
413,22,54.0
414,22,61.0
415,22,69.0
416,21,77.0
417,21,68.0
418,22,59.0
419,22,50.0
420,21,41.0
421,21,33.0
422,21,25.0
423,21,31.0
424,21,25.0
425,21,21.0
426,20,19.0
427,20,22.0
428,21,25.0
429,21,29.0
430,21,35.0
431,21,41.0
432,22,48.0
433,22,55.0
434,22,62.0
435,21,70.0
436,21,62.0
437,22,54.0
438,22,46.0
439,21,40.0
440,21,32.0
441,22,25.0
442,21,20.0
443,21,18.0
444,20,23.0
445,20,22.0
446,21,26.0
447,21,29.0
448,21,33.0
449,21,39.0
450,21,46.0
451,22,53.0
452,22,60.0
453,22,68.0
454,21,76.0
455,20,68.0
456,21,60.0
457,21,53.0
458,21,47.0
459,21,41.0
460,20,36.0
461,21,32.0
462,22,39.0
463,21,38.0
464,21,37.0
465,21,39.0
466,21,46.0
467,22,52.0
468,22,59.0
469,22,66.0
470,22,74.0
471,22,82.0
472,23,90.0
473,22,98.0
474,22,87.0
475,21,76.0
476,22,65.0
477,22,56.0
478,22,47.0
479,21,38.0
480,21,30.0
481,22,25.0
482,21,24.0
483,21,24.0
484,20,31.0
485,21,32.0
486,21,34.0
487,21,40.0
488,21,47.0
489,21,54.0
490,23,61.0
491,22,68.0
492,21,76.0
493,21,68.0
494,22,60.0
495,22,53.0
496,21,47.0
497,21,41.0
498,20,36.0
499,22,33.0
