time,cars,wait
0,0,0.0
1,0,0.0
2,0,0.0
3,1,0.0
4,1,0.0
5,2,0.0
6,2,0.0
7,4,0.0
8,5,0.0
9,5,0.0
10,6,0.0
11,7,0.0
12,7,0.0
13,7,0.0
14,8,0.0
15,8,0.0
16,8,0.0
17,9,0.0
18,9,0.0
19,9,0.0
20,9,1.0
21,9,2.0
22,9,3.0
23,9,4.0
24,11,5.0
25,11,7.0
26,11,9.0
27,11,12.0
28,12,15.0
29,13,18.0
30,12,21.0
31,12,5.0
32,12,0.0
33,11,0.0
34,12,0.0
35,12,1.0
36,12,2.0
37,12,3.0
38,13,4.0
39,13,6.0
40,15,6.0
41,15,7.0
42,16,9.0
43,16,13.0
44,16,15.0
45,18,18.0
46,17,21.0
47,17,11.0
48,17,7.0
49,18,2.0
50,18,3.0
51,18,6.0
52,20,9.0
53,20,12.0
54,22,15.0
55,22,18.0
56,21,21.0
57,21,25.0
58,22,29.0
59,21,33.0
60,21,39.0
61,21,45.0
62,21,52.0
63,21,26.0
64,21,14.0
65,22,8.0
66,22,1.0
67,21,1.0
68,21,3.0
69,23,6.0
70,23,9.0
71,23,14.0
72,24,19.0
73,25,25.0
74,26,29.0
75,26,34.0
76,27,39.0
77,28,44.0
78,28,49.0
79,28,55.0
80,29,34.0
81,29,15.0
82,29,2.0
83,28,1.0
84,27,1.0
85,27,5.0
86,27,9.0
87,26,15.0
88,25,21.0
89,25,29.0
90,26,39.0
91,27,50.0
92,28,62.0
93,28,75.0
94,29,88.0
95,29,102.0
96,29,116.0
97,29,104.0
98,29,80.0
99,29,60.0
100,29,42.0
101,30,34.0
102,29,28.0
103,31,34.0
104,30,28.0
105,30,24.0
106,31,20.0
107,31,22.0
108,33,24.0
109,34,29.0
110,34,37.0
111,35,44.0
112,36,52.0
113,36,62.0
114,36,74.0
115,36,58.0
116,36,49.0
117,35,44.0
118,35,39.0
119,33,39.0
120,33,40.0
121,32,44.0
122,32,53.0
123,31,56.0
124,31,62.0
125,32,68.0
126,32,74.0
127,32,89.0
128,32,97.0
129,33,113.0
130,34,129.0
131,34,145.0
132,34,161.0
133,35,149.0
134,37,120.0
135,37,91.0
136,37,63.0
137,37,34.0
138,39,20.0
139,39,21.0
140,39,25.0
141,39,32.0
142,40,41.0
143,41,54.0
144,41,68.0
145,42,86.0
146,42,103.0
147,43,121.0
148,44,140.0
149,43,163.0
150,43,185.0
151,44,211.0
152,44,238.0
153,46,230.0
154,46,222.0
155,45,202.0
156,46,182.0
157,46,165.0
158,46,145.0
159,45,149.0
160,44,133.0
161,44,121.0
162,45,124.0
163,44,123.0
164,44,112.0
165,44,100.0
166,45,89.0
167,46,95.0
168,46,100.0
169,46,116.0
170,45,134.0
171,44,155.0
172,44,178.0
173,44,203.0
174,45,221.0
175,45,241.0
176,46,217.0
177,45,193.0
178,45,172.0
179,46,158.0
180,46,137.0
181,46,133.0
182,46,124.0
183,46,104.0
184,48,92.0
185,48,83.0
186,48,85.0
187,48,76.0
188,48,69.0
189,48,75.0
190,49,93.0
191,49,112.0
192,48,133.0
193,48,158.0
194,47,183.0
195,46,207.0
196,46,235.0
197,47,264.0
198,47,296.0
199,46,329.0
200,46,362.0
201,47,338.0
202,46,317.0
203,46,292.0
204,45,286.0
205,46,260.0
206,46,238.0
207,45,242.0
208,44,216.0
209,44,188.0
210,45,197.0
211,45,168.0
212,45,142.0
213,45,114.0
214,45,102.0
215,46,100.0
216,45,116.0
217,45,134.0
218,45,152.0
219,47,172.0
220,47,192.0
221,46,214.0
222,45,240.0
223,44,265.0
224,45,290.0
225,46,317.0
226,45,345.0
227,45,374.0
228,44,404.0
229,45,436.0
230,45,395.0
231,45,354.0
232,44,318.0
233,44,283.0
