time,cars,wait,queue
0,1,0.0,1
1,1,0.0,0
2,2,0.0,1
3,2,0.0,0
4,3,0.0,1
5,4,0.0,1
6,4,0.0,0
7,4,0.0,0
8,5,0.0,1
9,5,0.0,0
10,5,0.0,0
11,6,0.0,1
12,6,0.0,0
13,7,0.0,1
14,7,0.0,0
15,8,0.0,1
16,8,0.0,0
17,9,0.0,1
18,9,0.0,0
19,9,0.0,0
20,10,0.0,1
21,11,0.0,1
22,12,1.0,2
23,12,3.0,2
24,12,5.0,2
25,12,7.0,2
26,13,10.0,5
27,14,13.0,4
28,15,16.0,4
29,15,19.0,3
30,16,23.0,5
31,18,8.0,4
32,19,4.0,3
33,19,2.0,1
34,18,3.0,1
35,19,4.0,2
36,20,5.0,2
37,20,6.0,1
38,21,7.0,2
39,20,10.0,2
40,21,14.0,4
41,21,18.0,3
42,22,23.0,5
43,22,30.0,6
44,22,37.0,6
45,22,44.0,6
46,23,52.0,8
47,21,52.0,8
48,21,52.0,8
49,21,53.0,8
50,22,56.0,8
51,22,63.0,6
52,22,71.0,7
53,22,80.0,9
54,22,89.0,9
55,23,98.0,9
56,24,107.0,9
57,24,117.0,9
58,24,127.0,9
59,26,138.0,12
60,26,150.0,11
61,27,111.0,9
62,26,81.0,6
63,26,45.0,7
64,26,27.0,7
65,26,17.0,4
66,28,13.0,7
67,27,16.0,6
68,28,17.0,8
69,27,19.0,6
70,27,20.0,5
71,29,24.0,10
72,29,28.0,6
73,29,33.0,5
74,29,40.0,6
75,30,49.0,9
76,31,58.0,9
77,32,67.0,9
78,31,78.0,10
79,33,90.0,13
80,34,102.0,12
81,34,115.0,12
82,33,128.0,12
83,33,142.0,14
84,34,159.0,16
85,34,178.0,17
86,33,186.0,20
87,34,192.0,19
88,34,201.0,19
89,35,210.0,20
90,35,220.0,18
91,35,176.0,15
92,35,129.0,16
93,36,96.0,16
94,37,72.0,14
95,38,49.0,13
96,38,34.0,10
97,38,30.0,10
98,39,24.0,10
99,40,22.0,10
100,40,23.0,8
101,40,30.0,9
102,39,39.0,11
103,41,49.0,14
104,41,62.0,13
105,41,74.0,12
106,41,90.0,15
107,42,107.0,17
108,43,128.0,21
109,42,151.0,23
110,43,171.0,26
111,43,192.0,25
112,42,215.0,26
113,42,239.0,27
114,41,266.0,29
115,42,290.0,28
116,42,315.0,28
117,42,338.0,26
118,43,364.0,27
119,43,393.0,28
120,44,420.0,29
121,44,383.0,25
122,44,346.0,22
123,45,311.0,23
124,45,278.0,18
125,45,247.0,17
126,44,219.0,15
127,44,190.0,15
128,44,183.0,16
129,44,156.0,16
130,44,128.0,15
131,43,97.0,13
132,43,76.0,13
133,44,69.0,14
134,45,83.0,15
135,45,96.0,14
136,45,111.0,15
137,44,127.0,16
138,45,144.0,18
139,47,162.0,20
140,47,181.0,18
141,45,202.0,20
142,45,224.0,21
143,45,249.0,24
144,45,277.0,27
145,44,303.0,25
146,43,323.0,26
147,42,345.0,27
148,43,368.0,29
149,44,391.0,30
150,44,417.0,29
151,44,388.0,28
152,44,350.0,26
153,45,313.0,26
154,46,280.0,25
155,46,240.0,22
156,46,206.0,21
157,46,172.0,19
158,48,183.0,19
159,48,154.0,16
160,48,126.0,15
161,47,115.0,14
162,47,91.0,13
163,48,73.0,15
164,48,89.0,15
165,48,95.0,16
166,47,114.0,18
167,48,134.0,21
168,48,158.0,23
169,47,181.0,23
170,46,207.0,25
171,46,235.0,27
172,47,265.0,31
173,47,296.0,30
174,46,329.0,32
175,45,362.0,32
176,45,396.0,33
177,45,431.0,35
178,45,464.0,34
179,45,500.0,35
180,45,536.0,35
181,45,517.0,33
182,45,480.0,35
183,45,442.0,31
184,45,407.0,30
185,45,368.0,27
186,45,352.0,25
187,45,331.0,24
188,44,288.0,22
189,44,262.0,22
190,43,216.0,18
191,44,171.0,17
192,44,125.0,14
193,44,124.0,15
194,44,74.0,10
195,44,85.0,11
196,45,83.0,13
197,45,98.0,14
198,44,113.0,15
199,45,127.0,15
200,45,147.0,19
201,45,165.0,20
202,45,186.0,20
203,44,209.0,22
204,43,232.0,22
205,44,257.0,26
206,43,282.0,24
207,43,309.0,27
208,43,337.0,27
209,42,365.0,27
210,44,395.0,31
211,43,371.0,28
212,43,331.0,27
213,43,291.0,25
214,43,255.0,22
215,45,222.0,23
216,44,194.0,20
217,43,189.0,21
218,42,164.0,20
219,42,142.0,19
220,43,131.0,20
221,43,123.0,18
222,43,106.0,17
223,43,102.0,17
224,44,108.0,18
225,44,116.0,18
226,44,126.0,18
227,45,146.0,20
228,44,168.0,21
229,46,192.0,25
230,46,217.0,24
231,46,244.0,26
232,46,273.0,28
233,45,301.0,28
234,45,332.0,31
235,46,363.0,31
236,45,394.0,30
237,45,426.0,31
238,45,458.0,31
239,47,490.0,33
240,46,523.0,32
241,46,478.0,30
242,45,430.0,27
243,45,385.0,26
244,46,343.0,27
245,45,305.0,23
246,44,265.0,19
247,44,229.0,19
248,46,194.0,20
249,45,190.0,17
250,45,178.0,16
251,45,146.0,15
252,46,116.0,15
253,46,88.0,13
254,46,81.0,13
255,46,94.0,13
256,46,109.0,14
257,46,125.0,16
258,46,142.0,16
259,46,162.0,19
260,46,183.0,20
261,46,206.0,24
262,46,231.0,24
263,46,258.0,27
264,45,285.0,26
265,46,313.0,29
266,46,343.0,29
267,47,373.0,30
268,46,405.0,31
269,46,436.0,31
270,46,469.0,33
271,46,447.0,32
272,46,407.0,30
273,46,370.0,29
