time,cars,wait,queue
0,0,0.0,0
1,1,0.0,1
2,2,0.0,1
3,2,0.0,0
4,2,0.0,0
5,2,0.0,0
6,3,0.0,1
7,3,1.0,1
8,3,0.0,0
9,3,0.0,0
10,3,0.0,0
11,4,0.0,1
12,6,0.0,2
13,6,0.0,0
14,6,0.0,0
15,7,0.0,1
16,8,1.0,2
17,8,1.0,1
18,8,1.0,1
19,8,2.0,1
20,8,3.0,1
21,9,4.0,2
22,11,5.0,3
23,11,6.0,1
24,11,7.0,1
25,12,8.0,2
26,11,9.0,1
27,12,10.0,2
28,13,12.0,3
29,14,15.0,4
30,14,19.0,4
31,15,4.0,2
32,15,0.0,0
33,15,0.0,1
34,16,1.0,2
35,17,3.0,2
36,17,6.0,3
37,18,9.0,3
38,18,13.0,3
39,18,19.0,5
40,19,25.0,6
41,19,31.0,5
42,19,37.0,5
43,20,44.0,7
44,20,51.0,6
45,21,59.0,8
46,21,67.0,7
47,21,75.0,7
48,20,84.0,8
49,20,93.0,10
50,20,104.0,10
51,21,116.0,12
52,21,110.0,11
53,22,103.0,11
54,23,98.0,12
55,23,102.0,10
56,24,106.0,10
57,23,116.0,10
58,23,127.0,12
59,24,138.0,12
60,25,150.0,13
61,25,111.0,10
62,25,79.0,8
63,26,58.0,8
64,27,42.0,7
65,27,33.0,6
66,28,26.0,6
67,28,22.0,6
68,29,20.0,8
69,29,19.0,5
70,30,21.0,5
71,29,28.0,6
72,29,36.0,7
73,29,44.0,8
74,29,54.0,9
75,30,65.0,10
76,31,76.0,10
77,30,82.0,12
78,30,88.0,12
79,28,95.0,11
80,30,108.0,14
81,30,122.0,14
82,30,138.0,15
83,30,155.0,17
84,31,172.0,17
85,31,192.0,19
86,32,211.0,20
87,33,219.0,21
88,34,228.0,21
89,35,237.0,21
90,35,250.0,21
91,37,207.0,19
92,38,167.0,17
93,37,132.0,14
94,36,99.0,10
95,37,72.0,12
96,38,57.0,11
97,38,39.0,9
98,38,45.0,9
99,40,38.0,10
100,40,38.0,10
101,40,50.0,12
102,39,58.0,14
103,38,69.0,13
104,39,79.0,13
105,40,95.0,16
106,40,113.0,17
107,40,119.0,18
108,40,128.0,20
109,42,140.0,25
110,42,150.0,20
111,41,163.0,22
112,41,177.0,23
113,41,202.0,25
114,43,218.0,26
115,43,235.0,25
116,43,252.0,24
117,43,269.0,25
118,43,289.0,26
119,45,316.0,28
120,45,339.0,27
121,45,313.0,24
122,44,279.0,23
123,45,247.0,23
124,45,219.0,20
125,46,191.0,20
126,46,173.0,19
127,45,148.0,17
128,45,129.0,15
129,45,110.0,16
130,46,125.0,16
131,46,109.0,15
132,45,113.0,16
133,45,96.0,14
134,46,81.0,15
135,47,91.0,16
136,47,109.0,17
137,46,128.0,18
138,47,148.0,20
139,48,171.0,23
140,48,196.0,24
141,47,223.0,26
142,46,251.0,27
143,46,281.0,30
144,46,312.0,30
145,46,345.0,32
146,45,379.0,33
147,45,413.0,34
148,45,447.0,33
149,44,482.0,34
150,44,518.0,35
151,43,501.0,34
152,42,464.0,33
153,43,426.0,32
154,42,391.0,28
155,42,352.0,25
156,41,314.0,24
157,41,272.0,21
158,40,251.0,20
159,40,222.0,17
160,40,201.0,16
161,40,178.0,14
162,41,152.0,14
163,41,108.0,12
164,41,65.0,10
165,41,61.0,10
166,42,73.0,12
167,42,87.0,13
168,42,102.0,14
169,41,119.0,16
170,42,136.0,18
171,43,155.0,20
172,43,176.0,20
173,42,197.0,20
174,42,219.0,21
175,41,242.0,22
176,42,265.0,23
177,42,290.0,25
178,42,315.0,24
179,42,341.0,25
180,41,368.0,26
181,42,341.0,26
182,41,299.0,26
183,41,267.0,23
184,40,251.0,24
185,39,221.0,20
186,40,218.0,20
187,39,194.0,20
188,38,171.0,16
189,38,163.0,16
190,39,140.0,16
191,39,117.0,13
192,39,96.0,13
193,39,74.0,11
194,40,74.0,12
195,40,74.0,12
196,40,91.0,16
197,39,108.0,16
198,40,127.0,19
199,41,149.0,22
200,41,171.0,21
201,41,194.0,23
202,41,219.0,24
203,41,242.0,24
204,41,268.0,25
205,40,294.0,25
206,41,320.0,27
207,41,346.0,25
208,40,373.0,26
209,41,400.0,27
210,41,427.0,27
211,41,383.0,25
212,41,341.0,25
213,41,299.0,23
214,40,255.0,20
215,41,236.0,19
216,41,209.0,18
217,41,177.0,16
218,41,150.0,15
219,41,148.0,15
220,42,146.0,15
221,42,139.0,15
222,43,116.0,15
223,42,96.0,13
224,42,92.0,15
225,43,94.0,15
226,44,110.0,16
227,43,127.0,16
228,43,144.0,16
229,44,164.0,20
