time,cars,wait
0,0,0.0
1,1,0.0
2,2,0.0
3,2,0.0
4,2,0.0
5,3,0.0
6,4,0.0
7,4,0.0
8,4,0.0
9,4,0.0
10,5,0.0
11,6,0.0
12,6,0.0
13,6,0.0
14,6,0.0
15,8,0.0
16,8,0.0
17,8,0.0
18,8,0.0
19,9,1.0
20,10,2.0
21,10,0.0
22,10,1.0
23,10,2.0
24,11,4.0
25,12,2.0
26,11,0.0
27,11,0.0
28,12,1.0
29,12,2.0
30,13,3.0
31,12,2.0
32,12,3.0
33,12,2.0
34,14,2.0
35,14,0.0
36,14,1.0
37,14,3.0
38,15,2.0
39,16,1.0
40,16,1.0
41,15,1.0
42,15,0.0
43,17,0.0
44,17,0.0
45,17,0.0
46,17,1.0
47,16,3.0
48,18,3.0
49,18,2.0
50,18,1.0
51,17,0.0
52,18,1.0
53,19,1.0
54,19,2.0
55,18,2.0
56,18,3.0
57,19,2.0
58,20,1.0
59,20,0.0
60,20,0.0
61,19,0.0
62,20,0.0
63,21,0.0
64,21,1.0
65,20,2.0
66,20,3.0
67,21,5.0
68,22,2.0
69,22,1.0
70,22,0.0
71,22,0.0
72,22,0.0
73,22,1.0
74,23,2.0
75,22,2.0
76,22,4.0
77,23,2.0
78,23,2.0
79,23,1.0
80,23,0.0
81,24,0.0
82,23,0.0
83,23,1.0
84,24,3.0
85,24,2.0
86,24,2.0
87,24,3.0
88,24,5.0
89,24,4.0
90,24,3.0
91,24,1.0
92,24,2.0
93,24,1.0
94,24,1.0
95,24,1.0
96,24,2.0
97,24,1.0
98,24,1.0
99,25,2.0
100,24,4.0
101,24,4.0
102,24,3.0
103,24,3.0
104,24,2.0
105,25,1.0
106,24,4.0
107,24,4.0
108,24,2.0
109,24,1.0
110,25,1.0
111,24,1.0
112,24,2.0
113,24,5.0
114,23,2.0
115,24,2.0
116,24,2.0
117,24,1.0
118,24,1.0
119,24,1.0
120,23,1.0
121,23,2.0
122,24,3.0
123,24,6.0
124,24,5.0
125,25,7.0
126,24,9.0
127,24,12.0
128,24,15.0
129,24,19.0
130,24,13.0
131,24,10.0
132,24,9.0
133,24,7.0
134,24,6.0
135,24,5.0
136,24,3.0
137,24,3.0
138,25,3.0
139,25,5.0
140,24,4.0
141,24,4.0
142,23,0.0
143,24,1.0
144,24,1.0
145,24,3.0
146,24,2.0
147,24,2.0
148,24,3.0
149,24,4.0
150,25,2.0
151,26,1.0
152,25,0.0
153,25,1.0
154,25,1.0
155,25,2.0
156,25,1.0
157,24,2.0
158,24,3.0
159,24,2.0
160,25,2.0
161,25,1.0
162,25,1.0
163,24,3.0
164,24,3.0
165,25,1.0
166,24,3.0
167,24,6.0
168,24,4.0
169,24,1.0
170,25,0.0
171,25,1.0
172,24,2.0
173,24,4.0
174,23,3.0
175,24,2.0
176,24,3.0
177,24,4.0
178,24,7.0
179,25,3.0
180,24,2.0
181,24,2.0
182,24,2.0
183,24,2.0
184,24,5.0
185,24,4.0
186,24,3.0
187,24,4.0
188,24,1.0
189,24,1.0
190,24,1.0
191,25,1.0
192,24,1.0
193,24,2.0
194,24,3.0
195,24,3.0
196,25,2.0
197,25,0.0
198,24,0.0
199,24,0.0
200,24,1.0
201,25,3.0
202,25,1.0
203,24,1.0
204,24,2.0
205,24,4.0
206,25,3.0
207,25,3.0
208,24,1.0
209,24,1.0
210,24,0.0
211,24,0.0
212,24,0.0
213,24,1.0
214,24,2.0
215,24,4.0
216,25,4.0
217,25,4.0
218,24,4.0
219,24,2.0
220,24,1.0
221,25,0.0
222,24,0.0
223,24,0.0
224,24,1.0
225,25,2.0
226,24,5.0
227,24,5.0
228,24,6.0
229,24,4.0
230,24,3.0
231,24,0.0
232,25,0.0
233,24,0.0
234,24,1.0
235,24,3.0
236,24,7.0
237,24,7.0
238,24,8.0
239,24,9.0
240,24,6.0
241,25,5.0
242,24,3.0
243,24,1.0
244,24,1.0
245,25,0.0
246,24,2.0
247,24,1.0
248,24,1.0
249,24,3.0
250,25,2.0
251,25,1.0
252,25,0.0
253,24,1.0
254,24,0.0
255,24,0.0
256,24,1.0
257,24,2.0
258,24,4.0
259,24,2.0
260,25,2.0
261,25,2.0
262,24,0.0
263,24,0.0
264,24,0.0
265,25,0.0
266,24,1.0
267,24,2.0
268,24,2.0
269,24,3.0
270,25,4.0
271,24,2.0
272,24,2.0
273,24,1.0
274,24,2.0
275,24,1.0
276,24,1.0
277,24,2.0
278,24,2.0
279,24,4.0
280,24,6.0
281,24,5.0
282,25,6.0
283,25,8.0
284,24,10.0
285,24,14.0
286,24,17.0
287,24,13.0
288,24,12.0
289,24,8.0
290,24,5.0
291,24,5.0
292,24,4.0
293,24,6.0
294,24,4.0
295,25,3.0
296,25,3.0
297,24,4.0
298,24,3.0
299,23,3.0
300,23,4.0
301,24,4.0
302,24,1.0
303,25,2.0
304,24,3.0
305,24,2.0
306,24,0.0
307,24,0.0
308,25,0.0
309,25,0.0
310,24,1.0
311,24,1.0
312,24,3.0
313,25,7.0
314,24,5.0
315,24,4.0
316,24,1.0
317,24,0.0
318,25,0.0
319,24,1.0
320,24,0.0
321,25,2.0
322,25,2.0
323,24,2.0
324,24,4.0
325,24,5.0
326,24,6.0
327,25,2.0
328,25,3.0
329,25,4.0
330,24,4.0
331,25,3.0
332,24,2.0
333,24,0.0
334,24,0.0
335,24,0.0
336,24,0.0
337,25,1.0
338,25,2.0
339,24,3.0
340,24,6.0
341,24,4.0
342,25,4.0
343,24,2.0
344,24,1.0
345,25,1.0
346,24,1.0
347,24,1.0
348,24,0.0
349,24,0.0
350,25,1.0
351,24,2.0
352,24,3.0
353,23,1.0
354,23,1.0
355,24,0.0
356,25,1.0
357,24,3.0
358,24,5.0
359,24,6.0
360,24,8.0
361,25,7.0
362,26,8.0
363,25,10.0
364,25,8.0
365,25,4.0
366,25,6.0
367,25,5.0
368,25,4.0
369,25,3.0
370,24,5.0
371,24,4.0
372,24,7.0
373,25,4.0
374,24,3.0
375,24,3.0
376,23,5.0
377,23,6.0
378,24,5.0
379,24,3.0
380,24,3.0
381,25,5.0
382,25,8.0
383,24,6.0
384,24,6.0
385,24,8.0
386,25,11.0
387,26,12.0
388,25,9.0
389,25,6.0
390,25,3.0
391,25,3.0
392,25,2.0
393,25,2.0
394,24,2.0
395,24,2.0
396,24,6.0
397,25,4.0
398,25,7.0
399,25,6.0
400,24,5.0
401,24,4.0
402,25,5.0
403,24,7.0
404,24,12.0
405,24,12.0
406,24,15.0
407,25,11.0
408,26,7.0
409,26,2.0
410,25,1.0
411,25,4.0
412,25,3.0
413,25,5.0
414,25,6.0
415,24,6.0
416,24,6.0
417,24,7.0
418,24,4.0
419,25,3.0
420,25,4.0
421,24,1.0
422,24,1.0
423,25,1.0
424,24,2.0
425,24,3.0
426,24,2.0
427,24,5.0
428,24,4.0
429,24,4.0
430,25,3.0
431,24,1.0
432,24,1.0
433,24,1.0
434,24,1.0
435,24,0.0
436,24,1.0
437,24,2.0
438,25,4.0
439,25,3.0
440,24,2.0
441,24,1.0
442,24,1.0
443,24,2.0
444,24,1.0
445,24,4.0
446,24,2.0
447,24,3.0
448,25,0.0
449,25,0.0
450,24,0.0
451,24,0.0
452,23,0.0
453,24,1.0
454,25,2.0
455,24,4.0
456,24,3.0
457,24,4.0
458,24,3.0
459,24,3.0
460,25,5.0
461,24,6.0
462,24,6.0
463,24,4.0
464,24,4.0
465,25,3.0
466,24,4.0
467,24,5.0
468,24,2.0
469,24,5.0
470,25,4.0
471,25,3.0
472,24,2.0
473,24,1.0
474,23,3.0
475,24,2.0
476,24,2.0
477,24,1.0
478,24,2.0
479,24,4.0
480,24,6.0
481,24,4.0
482,23,2.0
483,24,1.0
484,24,1.0
485,24,3.0
486,24,4.0
487,24,4.0
488,24,4.0
489,24,2.0
490,24,0.0
491,24,0.0
492,25,0.0
493,25,1.0
494,24,2.0
495,24,4.0
496,24,4.0
497,24,5.0
498,24,3.0
499,24,2.0
