time,cars,wait
0,3,0.0
1,3,0.0
2,3,0.0
3,3,0.0
4,4,0.0
5,4,1.0
6,4,0.0
7,4,0.0
8,4,0.0
9,6,0.0
10,6,0.0
11,7,0.0
12,7,0.0
13,8,0.0
14,8,0.0
15,8,0.0
16,10,0.0
17,10,0.0
18,10,2.0
19,10,4.0
20,12,6.0
21,12,1.0
22,12,0.0
23,11,0.0
24,11,0.0
25,11,0.0
26,12,1.0
27,12,2.0
28,13,4.0
29,13,6.0
30,13,8.0
31,14,1.0
32,14,1.0
33,17,2.0
34,17,4.0
35,18,6.0
36,18,9.0
37,17,13.0
38,17,18.0
39,17,20.0
40,20,22.0
41,19,27.0
42,19,8.0
43,18,2.0
44,19,3.0
45,22,4.0
46,22,6.0
47,21,8.0
48,21,12.0
49,21,17.0
50,22,22.0
51,22,28.0
52,22,34.0
53,22,40.0
54,21,46.0
55,23,53.0
56,23,35.0
57,23,22.0
58,21,9.0
59,21,4.0
60,21,4.0
61,20,5.0
62,20,7.0
63,20,12.0
64,20,17.0
65,20,23.0
66,20,31.0
67,22,39.0
68,22,42.0
69,23,47.0
70,24,34.0
71,24,17.0
72,23,12.0
73,22,8.0
74,23,8.0
75,25,11.0
76,25,15.0
77,25,20.0
78,25,25.0
79,26,31.0
80,28,39.0
81,28,28.0
82,29,19.0
83,28,9.0
84,30,9.0
85,30,7.0
86,29,10.0
87,30,9.0
88,31,14.0
89,32,19.0
90,31,25.0
91,31,32.0
92,31,40.0
93,32,31.0
94,33,25.0
95,33,22.0
96,33,20.0
97,34,19.0
98,35,19.0
99,35,19.0
100,34,21.0
101,34,28.0
102,34,37.0
103,33,30.0
104,35,23.0
105,35,18.0
106,36,15.0
107,36,17.0
108,36,19.0
109,35,19.0
110,36,27.0
111,35,37.0
112,35,42.0
113,34,31.0
114,35,24.0
115,35,19.0
116,36,19.0
117,37,19.0
118,38,18.0
119,38,24.0
120,38,26.0
121,39,29.0
122,41,34.0
123,42,33.0
124,42,30.0
125,43,24.0
126,43,22.0
127,43,23.0
128,42,21.0
129,43,22.0
130,43,25.0
131,43,35.0
132,43,43.0
133,44,42.0
134,44,32.0
135,44,31.0
136,45,27.0
137,45,26.0
138,45,26.0
139,46,28.0
140,46,31.0
141,45,38.0
142,45,46.0
143,45,39.0
144,46,32.0
145,46,35.0
146,46,38.0
147,46,42.0
148,47,40.0
149,47,41.0
150,47,44.0
151,46,49.0
152,46,66.0
153,45,55.0
154,45,51.0
155,45,41.0
156,45,34.0
157,46,29.0
158,46,21.0
159,46,19.0
160,46,22.0
161,47,22.0
162,48,29.0
163,48,22.0
164,48,22.0
165,48,25.0
166,49,25.0
167,49,27.0
168,49,34.0
169,49,42.0
170,48,53.0
171,48,63.0
172,48,79.0
173,49,65.0
174,49,55.0
175,48,46.0
176,48,40.0
177,48,34.0
178,48,35.0
179,49,43.0
180,48,48.0
181,48,63.0
182,48,70.0
183,47,63.0
184,48,57.0
185,48,44.0
186,48,39.0
187,48,36.0
188,48,33.0
189,49,32.0
190,49,39.0
191,49,39.0
192,48,50.0
193,48,46.0
194,48,39.0
195,48,32.0
196,48,34.0
197,48,30.0
198,48,26.0
199,50,30.0
200,49,34.0
201,49,38.0
202,49,42.0
203,48,40.0
204,48,32.0
205,49,27.0
206,49,35.0
207,49,29.0
208,49,25.0
209,48,28.0
210,48,33.0
211,47,43.0
212,48,60.0
213,47,57.0
214,47,47.0
215,46,40.0
216,46,34.0
217,47,31.0
218,48,32.0
219,49,30.0
220,49,35.0
221,50,42.0
222,49,47.0
223,49,39.0
224,48,30.0
225,48,27.0
226,49,27.0
227,49,26.0
228,49,30.0
229,49,35.0
230,48,38.0
231,48,47.0
232,49,54.0
233,49,68.0
234,48,57.0
235,48,46.0
236,47,41.0
237,48,37.0
238,49,35.0
239,48,43.0
240,48,44.0
241,48,49.0
242,46,56.0
243,47,67.0
244,47,76.0
245,46,85.0
246,46,97.0
247,47,87.0
248,48,81.0
249,48,75.0
250,48,70.0
251,48,62.0
252,46,58.0
253,46,64.0
254,46,62.0
255,47,69.0
256,46,67.0
257,46,83.0
258,46,65.0
259,47,47.0
260,48,38.0
261,48,29.0
262,47,30.0
263,47,38.0
264,48,44.0
265,48,46.0
266,47,51.0
267,46,58.0
268,45,65.0
269,46,54.0
270,47,46.0
271,47,42.0
272,47,43.0
273,47,44.0
274,48,43.0
275,48,54.0
276,47,58.0
277,46,69.0
278,45,76.0
279,46,61.0
280,46,53.0
281,46,42.0
282,46,35.0
283,47,30.0
284,48,29.0
285,48,37.0
286,47,48.0
287,47,52.0
288,46,59.0
289,46,54.0
290,47,50.0
291,47,45.0
292,47,33.0
293,48,26.0
294,48,26.0
295,48,29.0
296,48,31.0
297,49,38.0
298,49,40.0
299,48,34.0
300,48,25.0
301,49,20.0
302,49,17.0
303,49,19.0
304,48,25.0
305,48,28.0
306,48,34.0
307,47,41.0
308,46,48.0
309,46,40.0
310,46,34.0
311,46,26.0
312,46,24.0
313,47,29.0
314,47,39.0
315,47,41.0
316,47,44.0
317,46,50.0
318,45,59.0
319,44,53.0
320,45,44.0
321,45,38.0
322,45,31.0
323,46,29.0
324,47,27.0
325,47,29.0
326,47,34.0
327,48,41.0
328,48,46.0
329,48,35.0
330,48,28.0
331,48,25.0
332,48,23.0
333,48,23.0
334,47,24.0
335,49,25.0
336,49,34.0
337,48,41.0
338,48,44.0
339,48,38.0
340,48,32.0
341,48,28.0
342,48,23.0
343,48,24.0
344,48,28.0
345,48,25.0
346,48,28.0
347,48,25.0
348,48,27.0
349,47,24.0
350,47,19.0
351,47,14.0
352,48,15.0
353,48,13.0
354,49,13.0
355,49,19.0
356,49,27.0
357,49,33.0
358,49,43.0
359,49,39.0
360,49,35.0
361,50,30.0
362,49,24.0
363,48,20.0
364,48,21.0
365,49,26.0
366,48,35.0
367,49,47.0
368,48,57.0
369,48,56.0
370,48,55.0
371,48,47.0
372,49,45.0
373,49,44.0
374,49,50.0
375,48,49.0
376,48,47.0
377,49,48.0
378,48,51.0
379,48,43.0
380,48,36.0
381,48,34.0
382,49,26.0
383,49,24.0
384,49,29.0
385,49,34.0
386,49,43.0
387,48,55.0
388,49,72.0
389,50,88.0
390,50,104.0
391,49,121.0
392,48,145.0
393,48,170.0
394,48,157.0
395,48,144.0
396,49,136.0
397,49,124.0
398,48,114.0
399,48,101.0
400,48,89.0
401,48,98.0
402,48,89.0
403,48,84.0
404,48,60.0
405,49,38.0
406,49,24.0
407,49,8.0
408,49,8.0
409,49,14.0
410,49,15.0
411,48,21.0
412,48,27.0
413,48,31.0
414,47,27.0
415,46,20.0
416,46,17.0
417,46,15.0
418,46,17.0
419,46,20.0
420,46,29.0
421,48,34.0
422,48,45.0
423,47,52.0
424,46,45.0
425,47,37.0
426,47,32.0
427,48,29.0
428,48,28.0
429,49,31.0
430,47,40.0
431,47,49.0
432,46,56.0
433,46,66.0
434,45,60.0
435,45,53.0
436,46,55.0
437,46,41.0
438,46,38.0
439,46,35.0
440,47,34.0
441,48,44.0
442,48,43.0
443,47,52.0
